axialtime,axialaccel,bILBA,timptime,temp,bILBA,agltime,agl,bILBA
0,0.96,b0000,0.03875,67.98,b0000,0.04375,-1.08887,b0000
0.0025,1.04,b0000,0.08875,67.98,b0000,0.09375,-1.08887,b0000
0.005,1.04,b0000,0.13875,68.01,b0000,0.14375,-1.08887,b0000
0.0075,0.96,b0000,0.18875,68.01,b1000,0.19375,-1.08887,b1000
0.01,1.04,b0000,0.23875,68.01,b1000,0.24375,-7.89398,b1000
0.0125,0.96,b0000,0.29,68.01,b1100,0.295,-2.22449,b1100
0.015,0.96,b0000,0.34,68.01,b1100,0.345,-1.08887,b1100
0.0175,1.04,b0000,0.39,68.01,b1100,0.395,4.58929,b1100
0.02,1.04,b0000,0.44,68.01,b1100,0.445,10.2588,b1100
0.0225,0.96,b0000,0.49,68.01,b1100,0.495,18.2082,b1100
0.025,1.04,b0000,0.54,68.01,b1100,0.545,26.1576,b1100
0.0275,0.96,b0000,0.59,68.01,b1100,0.595,36.387,b1100
0.03,1.04,b0000,0.64,68.04,b1100,0.645,46.6077,b1100
0.0325,0.96,b0000,0.69,68.01,b1100,0.695,59.1169,b1100
0.035,0.96,b0000,0.74,68.04,b1100,0.745,77.313,b1100
0.0375,0.96,b0000,0.79,68.04,b1100,0.795,97.7977,b1100
0.04,0.96,b0000,0.84,68.01,b1100,0.845,122.842,b1100
0.0425,0.96,b0000,0.89,68.04,b1100,0.895,150.193,b1100
0.045,0.96,b0000,0.94,68.04,b1100,0.945,185.553,b1100
0.0475,0.96,b0000,0.99,68.04,b1100,0.995,227.806,b1100
0.05,0.96,b0000,1.04,68.04,b1100,1.045,284.986,b1100
0.0525,0.96,b0000,1.09,68.01,b1100,1.095,334.234,b1100
0.055,0.96,b0000,1.14,68.01,b1100,1.145,369.786,b1100
0.0575,0.96,b0000,1.19,67.98,b1100,1.195,397.336,b1100
0.06,1.04,b0000,1.24,67.95,b1100,1.245,427.2,b1100
0.0625,0.96,b0000,1.29,67.95,b1100,1.295,455.946,b1100
0.065,0.96,b0000,1.34,67.95,b1100,1.345,485.872,b1100
0.0675,0.96,b0000,1.39,67.89,b1100,1.395,515.823,b1100
0.07,0.96,b0000,1.44,67.89,b1110,1.445,542.332,b1110
0.0725,1.04,b0000,1.49,67.86,b1110,1.495,566.562,b1110
0.075,1.04,b0000,1.54,67.83,b1110,1.545,587.342,b1110
0.0775,0.96,b0000,1.59,67.8,b1110,1.595,601.203,b1110
0.08,0.96,b0000,1.64,67.77,b1110,1.645,615.065,b1110
0.0825,0.96,b0000,1.69,67.77,b1110,1.695,632.411,b1110
