time,axial,temp,agl
0,0.96,67.98,-1.08887
0.00125,0.96,67.98,-1.08887
0.0025,1.04,67.98,-1.08887
0.00375,1.04,67.98,-1.08887
0.005,1.04,67.98,-1.08887
0.00625,1.04,67.98,-1.08887
0.0075,0.96,67.98,-1.08887
0.00875,0.96,67.98,-1.08887
0.01,1.04,67.98,-1.08887
0.01125,1.04,67.98,-1.08887
0.0125,0.96,67.98,-1.08887
0.01375,0.96,67.98,-1.08887
0.015,0.96,67.98,-1.08887
0.01625,0.96,67.98,-1.08887
0.0175,1.04,67.98,-1.08887
0.01875,1.04,67.98,-1.08887
0.02,1.04,67.98,-1.08887
0.02125,1.04,67.98,-1.08887
0.0225,0.96,67.98,-1.08887
0.02375,0.96,67.98,-1.08887
0.025,1.04,67.98,-1.08887
0.02625,1.04,67.98,-1.08887
0.0275,0.96,67.98,-1.08887
0.02875,0.96,67.98,-1.08887
0.03,1.04,67.98,-1.08887
0.03125,1.04,67.98,-1.08887
0.0325,0.96,67.98,-1.08887
0.03375,0.96,67.98,-1.08887
0.035,0.96,67.98,-1.08887
0.03625,0.96,67.98,-1.08887
0.0375,0.96,67.98,-1.08887
0.03875,0.96,67.98,-1.08887
0.04,0.96,67.98,-1.08887
0.04125,0.96,67.98,-1.08887
0.0425,0.96,67.98,-1.08887
0.04375,0.96,67.98,-1.08887
0.045,0.96,67.98,-1.08887
0.04625,0.96,67.98,-1.08887
0.0475,0.96,67.98,-1.08887
0.04875,0.96,67.98,-1.08887
0.05,0.96,67.98,-1.08887
0.05,0.96,67.98,-1.08887
0.05,0.96,67.98,-1.08887
0.05125,0.96,67.98,-1.08887
0.0525,0.96,67.98,-1.08887
0.05375,0.96,67.98,-1.08887
0.055,0.96,67.98,-1.08887
0.05625,0.96,67.98,-1.08887
0.0575,0.96,67.98,-1.08887
0.05875,0.96,67.98,-1.08887
0.06,1.04,67.98,-1.08887
0.06125,1.04,67.98,-1.08887
0.0625,0.96,67.98,-1.08887
0.06375,0.96,67.98,-1.08887
0.065,0.96,67.98,-1.08887
0.06625,0.96,67.98,-1.08887
0.0675,0.96,67.98,-1.08887
0.06875,0.96,67.98,-1.08887
0.07,0.96,67.98,-1.08887
0.07125,0.96,67.98,-1.08887
0.0725,1.04,67.98,-1.08887
0.07375,1.04,67.98,-1.08887
0.075,1.04,67.98,-1.08887
0.07625,1.04,67.98,-1.08887
0.0775,0.96,67.98,-1.08887
0.07875,0.96,67.98,-1.08887
0.08,0.96,67.98,-1.08887
0.08125,0.96,67.98,-1.08887
0.0825,0.96,67.98,-1.08887
0.08375,0.96,67.98,-1.08887
0.085,0.96,67.98,-1.08887
0.08625,0.96,67.98,-1.08887
0.0875,1.04,67.98,-1.08887
0.08875,1.04,67.98,-1.08887
0.09,1.04,67.98,-1.08887
0.09125,1.04,67.98,-1.08887
0.0925,0.96,67.98,-1.08887
0.09375,0.96,67.98,-1.08887
0.095,1.04,67.98,-1.08887
0.09625,1.04,67.98,-1.08887
0.0975,1.04,67.98,-1.08887
0.09875,1.04,67.98,-1.08887
0.1,0.96,67.98,-1.08887
0.1,0.96,67.98,-1.08887
0.1,0.96,67.98,-1.08887
0.10125,0.96,67.98,-1.08887
0.1025,1.04,67.98,-1.08887
0.10375,1.04,67.98,-1.08887
0.105,1.04,67.98,-1.08887
0.10625,1.04,67.98,-1.08887
0.1075,0.96,67.98,-1.08887
0.10875,0.96,67.98,-1.08887
0.11,0.96,67.98,-1.08887
0.11125,0.96,67.98,-1.08887
0.1125,0.96,67.98,-1.08887
0.11375,0.96,67.98,-1.08887
0.115,0.96,67.98,-1.08887
0.11625,0.96,67.98,-1.08887
0.1175,0.96,67.98,-1.08887
0.11875,0.96,67.98,-1.08887
0.12,1.04,67.98,-1.08887
0.12125,1.04,67.98,-1.08887
0.1225,1.12,67.98,-1.08887
0.12375,1.12,67.98,-1.08887
0.125,1.04,67.98,-1.08887
0.12625,1.04,67.98,-1.08887
0.1275,1.12,67.98,-1.08887
0.12875,1.12,67.98,-1.08887
0.13,1.12,67.98,-1.08887
0.13125,1.12,67.98,-1.08887
0.1325,1.12,67.98,-1.08887
0.13375,1.12,67.98,-1.08887
0.135,0.96,67.98,-1.08887
0.13625,0.96,67.98,-1.08887
0.1375,1.12,67.98,-1.08887
0.13875,1.12,68.01,-1.08887
0.14,1.04,68.01,-1.08887
0.14125,1.04,68.01,-1.08887
0.1425,1.12,68.01,-1.08887
0.14375,1.12,68.01,-1.08887
0.145,1.04,68.01,-1.08887
0.14625,1.04,68.01,-1.08887
0.1475,1.12,68.01,-1.08887
0.14875,1.12,68.01,-1.08887
0.15,0.96,68.01,-1.08887
0.15,0.96,68.01,-1.08887
0.15,0.96,68.01,-1.08887
0.15125,0.96,68.01,-1.08887
0.1525,1.04,68.01,-1.08887
0.15375,1.04,68.01,-1.08887
0.155,1.04,68.01,-1.08887
0.15625,1.04,68.01,-1.08887
0.1575,1.12,68.01,-1.08887
0.15875,1.12,68.01,-1.08887
0.16,1.04,68.01,-1.08887
0.16125,1.04,68.01,-1.08887
0.1625,0.96,68.01,-1.08887
0.16375,0.96,68.01,-1.08887
0.165,1.12,68.01,-1.08887
0.16625,1.12,68.01,-1.08887
0.1675,0.79,68.01,-1.08887
0.16875,0.79,68.01,-1.08887
0.17,1.79,68.01,-1.08887
0.17125,1.79,68.01,-1.08887
0.1725,3.13,68.01,-1.08887
